Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C043,P036,Grocery,15.28,2024-08-22
C111,P040,Clothing,140.78,2025-01-05
C410,P020,Grocery,31.09,2024-10-28
C425,P003,Health & Beauty,123.96,2024-05-10
C338,P001,Home & Kitchen,121.58,2025-01-13
C293,P050,Books,42.74,2024-09-14
C159,P028,Grocery,24.76,2024-06-25
C417,P024,Clothing,112.22,2025-03-31
C365,P013,Health & Beauty,96.71,2024-04-08
C067,P029,Electronics,274.93,2025-01-30
C288,P027,Grocery,47.56,2024-05-17
C427,P035,Clothing,145.34,2024-04-17
C444,P009,Health & Beauty,152.28,2024-11-23
C190,P015,Grocery,26.46,2024-04-10
C301,P023,Home & Kitchen,73.07,2024-08-15
C054,P012,Grocery,47.66,2024-04-20
C342,P019,Health & Beauty,39.38,2024-07-01
C086,P022,Grocery,36.29,2024-08-14
C294,P033,Books,21.5,2024-04-27
C058,P044,Home & Kitchen,78.81,2024-04-11
C252,P044,Home & Kitchen,78.81,2024-12-30
C329,P020,Grocery,31.09,2024-05-02
C295,P037,Grocery,45.36,2024-07-28
C211,P034,Clothing,131.39,2024-05-08
C358,P041,Health & Beauty,60.05,2024-04-17
C321,P038,Health & Beauty,30.84,2024-06-04
C457,P032,Grocery,15.89,2025-02-08
C029,P033,Books,21.5,2024-04-05
C241,P033,Books,21.5,2024-05-19
C431,P015,Grocery,26.46,2025-01-21
C140,P041,Health & Beauty,60.05,2024-07-02
C309,P047,Books,40.03,2024-10-10
C485,P025,Clothing,143.67,2025-01-29
C380,P025,Clothing,143.67,2024-08-22
C004,P035,Clothing,145.34,2024-04-13
C335,P010,Clothing,30.34,2025-03-04
C297,P003,Health & Beauty,123.96,2024-12-17
C383,P038,Health & Beauty,30.84,2025-01-05
C300,P045,Health & Beauty,173.17,2025-01-01
C209,P042,Grocery,39.25,2024-06-08
C056,P022,Grocery,36.29,2024-08-22
C207,P040,Clothing,140.78,2024-10-31
C297,P038,Health & Beauty,30.84,2024-05-19
C007,P002,Clothing,195.25,2024-08-11
C024,P043,Grocery,15.66,2024-06-09
C422,P034,Clothing,131.39,2025-03-08
C144,P025,Clothing,143.67,2024-12-11
C255,P049,Books,17.03,2024-06-23
C288,P002,Clothing,195.25,2024-09-12
C350,P006,Home & Kitchen,145.28,2024-10-19
C199,P026,Electronics,227.2,2024-05-23
C266,P044,Home & Kitchen,78.81,2024-08-02
C257,P013,Health & Beauty,96.71,2024-11-12
C326,P048,Health & Beauty,156.97,2024-09-22
C366,P012,Grocery,47.66,2025-02-28
C124,P048,Health & Beauty,156.97,2024-07-04
C178,P045,Health & Beauty,173.17,2024-11-15
C266,P004,Home & Kitchen,92.17,2024-09-03
C291,P032,Grocery,15.89,2024-06-14
C071,P041,Health & Beauty,60.05,2024-12-03
C157,P044,Home & Kitchen,78.81,2024-06-19
C219,P040,Clothing,140.78,2024-08-08
C385,P006,Home & Kitchen,145.28,2024-10-29
C176,P008,Health & Beauty,151.86,2025-01-19
C492,P004,Home & Kitchen,92.17,2024-05-04
C441,P047,Books,40.03,2024-12-04
C245,P015,Grocery,26.46,2024-08-24
C348,P030,Electronics,830.78,2025-01-22
C259,P020,Grocery,31.09,2025-02-03
C153,P014,Electronics,705.3,2024-11-07
C224,P047,Books,40.03,2024-05-31
C005,P031,Health & Beauty,133.54,2025-03-25
C139,P030,Electronics,830.78,2024-10-26
C350,P008,Health & Beauty,151.86,2024-12-19
C425,P023,Home & Kitchen,73.07,2024-10-11
C230,P005,Books,40.32,2024-12-23
C041,P005,Books,40.32,2024-04-21
C339,P049,Books,17.03,2024-09-14
C455,P021,Health & Beauty,41.17,2024-11-02
C245,P043,Grocery,15.66,2024-05-05
C186,P029,Electronics,274.93,2024-12-25
C332,P025,Clothing,143.67,2024-10-04
C397,P040,Clothing,140.78,2024-04-05
C128,P050,Books,42.74,2024-12-18
C484,P020,Grocery,31.09,2024-07-16
C301,P049,Books,17.03,2024-04-21
C289,P044,Home & Kitchen,78.81,2024-05-20
C436,P044,Home & Kitchen,78.81,2024-07-15
C115,P043,Grocery,15.66,2025-02-25
C465,P045,Health & Beauty,173.17,2024-04-08
C003,P036,Grocery,15.28,2024-08-10
C402,P003,Health & Beauty,123.96,2024-08-19
C470,P026,Electronics,227.2,2024-07-19
C432,P006,Home & Kitchen,145.28,2024-12-01
C464,P041,Health & Beauty,60.05,2025-02-22
C071,P017,Home & Kitchen,197.59,2025-03-18
C441,P047,Books,40.03,2024-05-02
C327,P010,Clothing,30.34,2024-09-16
C293,P042,Grocery,39.25,2024-04-08
C351,P004,Home & Kitchen,92.17,2024-04-11
C068,P006,Home & Kitchen,145.28,2024-08-05
C317,P033,Books,21.5,2024-06-02
C348,P040,Clothing,140.78,2024-10-19
C014,P004,Home & Kitchen,92.17,2024-11-11
C247,P041,Health & Beauty,60.05,2024-04-23
C428,P016,Grocery,29.39,2024-08-15
C156,P014,Electronics,705.3,2024-08-05
C496,P002,Clothing,195.25,2024-06-24
C290,P009,Health & Beauty,152.28,2025-01-11
C010,P049,Books,17.03,2024-07-28
C292,P045,Health & Beauty,173.17,2024-07-13
C305,P035,Clothing,145.34,2024-07-22
C214,P024,Clothing,112.22,2024-07-04
C118,P012,Grocery,47.66,2024-10-22
C148,P023,Home & Kitchen,73.07,2025-01-06
C426,P002,Clothing,195.25,2025-02-24
C247,P004,Home & Kitchen,92.17,2024-06-14
C258,P016,Grocery,29.39,2025-03-04
C264,P035,Clothing,145.34,2025-01-30
C050,P001,Home & Kitchen,121.58,2024-06-21
C400,P028,Grocery,24.76,2025-01-15
C467,P005,Books,40.32,2024-10-21
C183,P035,Clothing,145.34,2025-01-19
C060,P014,Electronics,705.3,2024-11-13
C361,P005,Books,40.32,2024-04-20
C462,P040,Clothing,140.78,2024-12-16
C069,P046,Health & Beauty,95.79,2025-02-07
C189,P008,Health & Beauty,151.86,2024-06-07
C186,P044,Home & Kitchen,78.81,2024-07-03
C137,P039,Clothing,52.46,2024-10-29
C215,P026,Electronics,227.2,2025-02-20
C127,P045,Health & Beauty,173.17,2024-06-02
C108,P041,Health & Beauty,60.05,2024-12-05
C491,P030,Electronics,830.78,2024-06-04
C195,P009,Health & Beauty,152.28,2024-08-09
C384,P002,Clothing,195.25,2024-10-05
C050,P022,Grocery,36.29,2024-08-06
C443,P005,Books,40.32,2024-05-12
C273,P036,Grocery,15.28,2024-07-19
C132,P016,Grocery,29.39,2024-07-11
C300,P010,Clothing,30.34,2024-07-01
C386,P023,Home & Kitchen,73.07,2024-06-12
C468,P034,Clothing,131.39,2024-05-24
C344,P038,Health & Beauty,30.84,2024-05-10
C115,P024,Clothing,112.22,2024-06-04
C264,P021,Health & Beauty,41.17,2024-10-26
C341,P030,Electronics,830.78,2024-08-20
C382,P045,Health & Beauty,173.17,2025-02-27
C154,P026,Electronics,227.2,2024-06-15
C399,P020,Grocery,31.09,2024-11-23
C406,P041,Health & Beauty,60.05,2024-11-06
C298,P027,Grocery,47.56,2024-12-03
C411,P012,Grocery,47.66,2024-11-26
C177,P033,Books,21.5,2025-03-24
C117,P002,Clothing,195.25,2024-11-03
C099,P009,Health & Beauty,152.28,2024-08-26
C320,P017,Home & Kitchen,197.59,2024-07-06
C345,P040,Clothing,140.78,2024-08-27
C188,P019,Health & Beauty,39.38,2025-03-18
C323,P025,Clothing,143.67,2024-08-04
C281,P021,Health & Beauty,41.17,2024-06-23
C040,P039,Clothing,52.46,2024-11-22
C358,P042,Grocery,39.25,2025-01-07
C292,P011,Clothing,44.35,2024-08-05
C112,P017,Home & Kitchen,197.59,2024-06-29
C272,P011,Clothing,44.35,2025-03-12
C238,P031,Health & Beauty,133.54,2025-02-05
C328,P037,Grocery,45.36,2024-12-05
C297,P035,Clothing,145.34,2024-04-04
C301,P022,Grocery,36.29,2024-06-28
C078,P019,Health & Beauty,39.38,2024-09-24
C244,P011,Clothing,44.35,2024-06-26
C175,P020,Grocery,31.09,2025-02-23
C317,P016,Grocery,29.39,2024-09-16
C367,P022,Grocery,36.29,2024-07-14
C198,P038,Health & Beauty,30.84,2024-08-26
C271,P048,Health & Beauty,156.97,2024-12-29
C068,P020,Grocery,31.09,2024-12-21
C219,P042,Grocery,39.25,2024-11-18
C165,P012,Grocery,47.66,2024-12-22
C286,P026,Electronics,227.2,2024-05-11
C055,P018,Books,46.71,2024-09-05
C336,P015,Grocery,26.46,2024-11-21
C220,P013,Health & Beauty,96.71,2024-12-30
C455,P033,Books,21.5,2025-03-18
C440,P028,Grocery,24.76,2025-03-01
C086,P045,Health & Beauty,173.17,2024-04-18
C048,P016,Grocery,29.39,2024-06-15
C145,P026,Electronics,227.2,2024-05-14
C361,P006,Home & Kitchen,145.28,2025-03-16
C399,P025,Clothing,143.67,2024-04-06
C331,P038,Health & Beauty,30.84,2024-07-10
C140,P015,Grocery,26.46,2025-03-13
C346,P039,Clothing,52.46,2024-10-11
C336,P018,Books,46.71,2024-06-29
C175,P003,Health & Beauty,123.96,2024-06-19
C150,P008,Health & Beauty,151.86,2024-10-22
C230,P010,Clothing,30.34,2024-07-20
C067,P048,Health & Beauty,156.97,2024-12-06
C331,P050,Books,42.74,2025-03-08
C299,P035,Clothing,145.34,2024-07-26
C010,P018,Books,46.71,2024-08-26
C337,P023,Home & Kitchen,73.07,2024-10-05
C357,P012,Grocery,47.66,2025-02-18
C298,P049,Books,17.03,2024-08-02
C346,P013,Health & Beauty,96.71,2025-03-07
C316,P006,Home & Kitchen,145.28,2024-05-09
C420,P002,Clothing,195.25,2025-03-07
C358,P031,Health & Beauty,133.54,2024-11-27
C055,P015,Grocery,26.46,2025-03-12
C017,P026,Electronics,227.2,2024-08-03
C080,P015,Grocery,26.46,2024-09-07
C106,P037,Grocery,45.36,2024-09-30
C234,P031,Health & Beauty,133.54,2025-02-10
C282,P008,Health & Beauty,151.86,2024-07-13
C261,P047,Books,40.03,2024-12-07
C019,P027,Grocery,47.56,2024-12-09
C292,P040,Clothing,140.78,2024-04-04
C188,P035,Clothing,145.34,2025-03-27
C450,P026,Electronics,227.2,2024-08-07
C479,P030,Electronics,830.78,2025-03-08
C010,P024,Clothing,112.22,2024-11-07
C187,P035,Clothing,145.34,2024-05-26
C281,P043,Grocery,15.66,2025-01-25
C491,P017,Home & Kitchen,197.59,2024-10-04
C160,P008,Health & Beauty,151.86,2025-01-20
C345,P043,Grocery,15.66,2024-11-04
C318,P018,Books,46.71,2024-06-09
C156,P047,Books,40.03,2025-02-09
C291,P048,Health & Beauty,156.97,2025-01-11
C140,P015,Grocery,26.46,2025-02-11
C173,P047,Books,40.03,2024-09-10
C119,P042,Grocery,39.25,2024-12-07
C306,P001,Home & Kitchen,121.58,2024-11-14
C407,P015,Grocery,26.46,2025-02-24
C449,P044,Home & Kitchen,78.81,2024-09-15
C298,P001,Home & Kitchen,121.58,2024-08-26
C291,P009,Health & Beauty,152.28,2024-04-22
C281,P047,Books,40.03,2024-06-01
C132,P037,Grocery,45.36,2024-07-24
C262,P025,Clothing,143.67,2024-08-01
C372,P019,Health & Beauty,39.38,2024-06-03
C426,P015,Grocery,26.46,2024-06-12
C343,P045,Health & Beauty,173.17,2024-05-12
C423,P025,Clothing,143.67,2024-09-01
C234,P017,Home & Kitchen,197.59,2024-12-01
C270,P012,Grocery,47.66,2024-12-11
C247,P045,Health & Beauty,173.17,2024-08-24
C404,P026,Electronics,227.2,2024-08-29
C085,P044,Home & Kitchen,78.81,2025-01-08
C189,P001,Home & Kitchen,121.58,2024-10-14
C073,P045,Health & Beauty,173.17,2024-06-06
C312,P010,Clothing,30.34,2024-05-01
C491,P004,Home & Kitchen,92.17,2024-06-05
C300,P017,Home & Kitchen,197.59,2024-10-21
C391,P027,Grocery,47.56,2024-12-18
C114,P043,Grocery,15.66,2024-04-26
C330,P004,Home & Kitchen,92.17,2025-01-28
C313,P046,Health & Beauty,95.79,2024-06-16
C476,P004,Home & Kitchen,92.17,2025-02-16
C287,P003,Health & Beauty,123.96,2024-05-06
C476,P018,Books,46.71,2024-12-07
C421,P031,Health & Beauty,133.54,2024-12-15
C456,P027,Grocery,47.56,2024-05-15
C144,P049,Books,17.03,2024-11-14
C423,P020,Grocery,31.09,2024-07-20
C427,P048,Health & Beauty,156.97,2024-09-13
C316,P002,Clothing,195.25,2024-05-14
C148,P023,Home & Kitchen,73.07,2024-12-23
C310,P011,Clothing,44.35,2024-10-24
C137,P013,Health & Beauty,96.71,2024-10-20
C355,P044,Home & Kitchen,78.81,2025-03-13
C451,P034,Clothing,131.39,2024-04-14
C155,P033,Books,21.5,2024-06-17
C279,P041,Health & Beauty,60.05,2025-02-01
C360,P036,Grocery,15.28,2024-11-01
C137,P005,Books,40.32,2025-01-11
C240,P027,Grocery,47.56,2024-10-25
C348,P048,Health & Beauty,156.97,2024-11-17
C375,P040,Clothing,140.78,2025-02-17
C079,P027,Grocery,47.56,2024-12-07
C458,P010,Clothing,30.34,2025-01-20
C014,P016,Grocery,29.39,2025-03-23
C222,P048,Health & Beauty,156.97,2024-08-05
C115,P011,Clothing,44.35,2025-01-18
C043,P037,Grocery,45.36,2024-12-07
C143,P038,Health & Beauty,30.84,2024-08-07
C138,P005,Books,40.32,2025-01-01
C056,P033,Books,21.5,2024-10-06
C098,P031,Health & Beauty,133.54,2024-11-11
C454,P037,Grocery,45.36,2024-04-29
C078,P020,Grocery,31.09,2025-02-27
C356,P014,Electronics,705.3,2025-01-30
C452,P017,Home & Kitchen,197.59,2024-09-20
C034,P042,Grocery,39.25,2024-07-06
C406,P006,Home & Kitchen,145.28,2024-05-07
C469,P029,Electronics,274.93,2024-11-12
C309,P001,Home & Kitchen,121.58,2024-11-18
C303,P025,Clothing,143.67,2025-03-15
C402,P044,Home & Kitchen,78.81,2025-03-06
C101,P025,Clothing,143.67,2024-10-03
C228,P050,Books,42.74,2025-03-07
C195,P020,Grocery,31.09,2024-07-18
C033,P022,Grocery,36.29,2024-09-20
C322,P030,Electronics,830.78,2025-02-24
C406,P047,Books,40.03,2025-03-02
C323,P011,Clothing,44.35,2024-05-11
C402,P008,Health & Beauty,151.86,2024-04-05
C301,P014,Electronics,705.3,2025-01-16
C057,P020,Grocery,31.09,2024-11-20
C082,P005,Books,40.32,2025-01-31
C325,P024,Clothing,112.22,2025-02-19
C094,P027,Grocery,47.56,2024-10-09
C360,P035,Clothing,145.34,2024-08-17
C315,P034,Clothing,131.39,2024-09-05
C264,P042,Grocery,39.25,2024-04-03
C178,P037,Grocery,45.36,2024-06-07
C453,P020,Grocery,31.09,2024-06-01
C022,P044,Home & Kitchen,78.81,2024-11-10
C177,P023,Home & Kitchen,73.07,2024-06-05
C275,P048,Health & Beauty,156.97,2024-07-23
C003,P008,Health & Beauty,151.86,2025-01-07
C341,P042,Grocery,39.25,2024-05-15
C325,P015,Grocery,26.46,2025-03-11
C171,P004,Home & Kitchen,92.17,2024-10-15
C102,P011,Clothing,44.35,2024-05-22
C453,P049,Books,17.03,2025-02-07
C142,P010,Clothing,30.34,2024-07-11
C209,P045,Health & Beauty,173.17,2025-03-16
C087,P010,Clothing,30.34,2024-07-04
C319,P045,Health & Beauty,173.17,2024-09-25
C019,P012,Grocery,47.66,2024-08-06
C309,P034,Clothing,131.39,2024-09-02
C048,P022,Grocery,36.29,2024-08-27
C293,P030,Electronics,830.78,2025-03-30
C074,P019,Health & Beauty,39.38,2024-12-29
C379,P022,Grocery,36.29,2024-06-29
C304,P020,Grocery,31.09,2024-06-05
C133,P012,Grocery,47.66,2024-05-15
C288,P016,Grocery,29.39,2025-01-09
C215,P031,Health & Beauty,133.54,2025-03-27
C379,P016,Grocery,29.39,2024-12-12
C220,P043,Grocery,15.66,2025-02-06
C485,P032,Grocery,15.89,2025-02-16
C218,P042,Grocery,39.25,2024-11-29
C194,P028,Grocery,24.76,2025-01-22
C202,P012,Grocery,47.66,2024-05-06
C393,P026,Electronics,227.2,2024-08-31
C095,P010,Clothing,30.34,2024-07-09
C109,P015,Grocery,26.46,2025-02-19
C260,P048,Health & Beauty,156.97,2024-11-14
C338,P020,Grocery,31.09,2024-10-07
C231,P036,Grocery,15.28,2024-12-18
C179,P037,Grocery,45.36,2024-10-19
C217,P037,Grocery,45.36,2025-01-10
C436,P049,Books,17.03,2024-05-29
C414,P012,Grocery,47.66,2024-10-15
C376,P037,Grocery,45.36,2024-08-29
C195,P015,Grocery,26.46,2025-03-01
C199,P009,Health & Beauty,152.28,2024-11-16
C234,P015,Grocery,26.46,2025-03-22
C309,P002,Clothing,195.25,2024-12-07
C383,P044,Home & Kitchen,78.81,2024-08-20
C247,P041,Health & Beauty,60.05,2024-04-07
C490,P030,Electronics,830.78,2025-01-24
C476,P045,Health & Beauty,173.17,2024-10-21
C346,P021,Health & Beauty,41.17,2024-12-03
C479,P026,Electronics,227.2,2024-08-28
C258,P007,Clothing,110.63,2024-07-24
C382,P027,Grocery,47.56,2025-02-19
C203,P014,Electronics,705.3,2025-03-03
C164,P023,Home & Kitchen,73.07,2024-10-18
C102,P046,Health & Beauty,95.79,2024-10-20
C392,P036,Grocery,15.28,2025-02-26
C082,P007,Clothing,110.63,2024-08-02
C380,P048,Health & Beauty,156.97,2024-07-30
C274,P043,Grocery,15.66,2025-01-26
C401,P022,Grocery,36.29,2024-08-06
C260,P001,Home & Kitchen,121.58,2025-01-05
C045,P044,Home & Kitchen,78.81,2024-10-20
C056,P014,Electronics,705.3,2025-01-23
C298,P036,Grocery,15.28,2024-06-20
C245,P017,Home & Kitchen,197.59,2024-09-21
C400,P002,Clothing,195.25,2024-12-21
C167,P029,Electronics,274.93,2025-01-17
C427,P029,Electronics,274.93,2025-01-09
C114,P033,Books,21.5,2025-01-24
C391,P002,Clothing,195.25,2024-04-26
C211,P047,Books,40.03,2024-05-21
C207,P043,Grocery,15.66,2025-03-17
C070,P044,Home & Kitchen,78.81,2024-12-22
C062,P023,Home & Kitchen,73.07,2024-04-17
C165,P004,Home & Kitchen,92.17,2025-03-16
C198,P007,Clothing,110.63,2024-07-12
C384,P036,Grocery,15.28,2024-05-02
C325,P030,Electronics,830.78,2025-03-31
C294,P028,Grocery,24.76,2024-08-15
C015,P012,Grocery,47.66,2024-08-24
C092,P013,Health & Beauty,96.71,2024-04-20
C083,P020,Grocery,31.09,2024-05-08
C313,P002,Clothing,195.25,2024-04-14
C113,P018,Books,46.71,2025-02-12
C267,P002,Clothing,195.25,2024-08-18
C385,P044,Home & Kitchen,78.81,2024-05-24
C117,P019,Health & Beauty,39.38,2024-08-31
C300,P022,Grocery,36.29,2024-05-15
C003,P002,Clothing,195.25,2024-06-29
C415,P009,Health & Beauty,152.28,2024-10-23
C121,P041,Health & Beauty,60.05,2024-06-26
C481,P039,Clothing,52.46,2024-08-08
C267,P008,Health & Beauty,151.86,2024-09-01
C444,P020,Grocery,31.09,2024-05-10
C236,P023,Home & Kitchen,73.07,2025-03-05
C282,P039,Clothing,52.46,2025-01-30
C293,P031,Health & Beauty,133.54,2024-11-21
C019,P029,Electronics,274.93,2024-04-07
C311,P049,Books,17.03,2024-12-05
C288,P011,Clothing,44.35,2024-12-03
C442,P024,Clothing,112.22,2024-07-13
C029,P020,Grocery,31.09,2024-07-26
C146,P037,Grocery,45.36,2025-03-30
C026,P029,Electronics,274.93,2025-03-09
C430,P012,Grocery,47.66,2025-01-29
C401,P022,Grocery,36.29,2024-12-26
C155,P011,Clothing,44.35,2024-12-04
C237,P042,Grocery,39.25,2024-12-16
C360,P048,Health & Beauty,156.97,2025-01-31
C006,P010,Clothing,30.34,2024-05-23
C264,P041,Health & Beauty,60.05,2024-06-24
C184,P017,Home & Kitchen,197.59,2024-10-17
C351,P010,Clothing,30.34,2025-03-04
C247,P046,Health & Beauty,95.79,2024-05-06
C198,P030,Electronics,830.78,2024-12-22
C278,P016,Grocery,29.39,2024-05-12
C167,P009,Health & Beauty,152.28,2024-08-11
C229,P046,Health & Beauty,95.79,2025-03-18
C097,P023,Home & Kitchen,73.07,2025-02-03
C313,P025,Clothing,143.67,2025-02-17
C198,P008,Health & Beauty,151.86,2024-12-03
C326,P018,Books,46.71,2024-04-09
C146,P047,Books,40.03,2024-10-17
C044,P012,Grocery,47.66,2024-09-20
C138,P039,Clothing,52.46,2024-11-25
C181,P013,Health & Beauty,96.71,2024-11-12
C025,P041,Health & Beauty,60.05,2024-10-02
C409,P047,Books,40.03,2024-06-29
C048,P032,Grocery,15.89,2024-04-08
C094,P022,Grocery,36.29,2024-07-11
C060,P044,Home & Kitchen,78.81,2024-04-06
C246,P002,Clothing,195.25,2024-10-22
C375,P012,Grocery,47.66,2024-05-20
C179,P032,Grocery,15.89,2025-02-06
C155,P035,Clothing,145.34,2024-10-14
C131,P003,Health & Beauty,123.96,2025-02-20
C097,P030,Electronics,830.78,2024-05-25
C477,P020,Grocery,31.09,2024-04-13
C209,P022,Grocery,36.29,2024-10-28
C059,P035,Clothing,145.34,2024-06-01
C312,P034,Clothing,131.39,2024-11-10
C423,P025,Clothing,143.67,2024-11-27
C479,P013,Health & Beauty,96.71,2024-08-01
C422,P030,Electronics,830.78,2024-10-31
C452,P042,Grocery,39.25,2024-09-09
C275,P029,Electronics,274.93,2025-02-16
C365,P025,Clothing,143.67,2024-05-01
C041,P018,Books,46.71,2025-02-26
C319,P011,Clothing,44.35,2024-09-02
C404,P049,Books,17.03,2025-02-07
C024,P003,Health & Beauty,123.96,2024-04-03
C350,P042,Grocery,39.25,2024-10-15
C148,P001,Home & Kitchen,121.58,2025-01-01
C055,P025,Clothing,143.67,2024-09-17
C271,P049,Books,17.03,2025-02-09
C207,P011,Clothing,44.35,2024-12-16
C105,P047,Books,40.03,2025-03-23
C023,P009,Health & Beauty,152.28,2024-05-22
C051,P032,Grocery,15.89,2024-06-03
C018,P024,Clothing,112.22,2024-08-23
C323,P037,Grocery,45.36,2025-02-16
C063,P019,Health & Beauty,39.38,2025-02-15
C097,P028,Grocery,24.76,2025-01-03
C492,P015,Grocery,26.46,2024-12-01
C247,P014,Electronics,705.3,2025-03-17
C119,P028,Grocery,24.76,2024-07-02
C314,P037,Grocery,45.36,2024-07-14
C072,P014,Electronics,705.3,2024-10-06
C141,P031,Health & Beauty,133.54,2024-12-15
C010,P036,Grocery,15.28,2024-04-28
C458,P049,Books,17.03,2025-02-05
C286,P003,Health & Beauty,123.96,2024-11-20
C102,P016,Grocery,29.39,2024-12-03
C099,P004,Home & Kitchen,92.17,2024-09-03
C182,P018,Books,46.71,2025-03-07
C480,P021,Health & Beauty,41.17,2024-12-12
C131,P009,Health & Beauty,152.28,2024-07-23
C271,P004,Home & Kitchen,92.17,2024-05-10
C409,P022,Grocery,36.29,2024-07-01
C191,P028,Grocery,24.76,2024-06-02
C098,P050,Books,42.74,2024-09-28
C362,P033,Books,21.5,2024-12-15
C466,P008,Health & Beauty,151.86,2024-08-02
C302,P011,Clothing,44.35,2024-07-16
C425,P008,Health & Beauty,151.86,2025-02-27
C365,P009,Health & Beauty,152.28,2024-11-08
C305,P014,Electronics,705.3,2024-12-14
C227,P043,Grocery,15.66,2025-01-07
C390,P006,Home & Kitchen,145.28,2024-09-17
C241,P002,Clothing,195.25,2024-06-12
C004,P048,Health & Beauty,156.97,2024-04-18
C264,P009,Health & Beauty,152.28,2025-03-18
C047,P001,Home & Kitchen,121.58,2025-02-15
C116,P027,Grocery,47.56,2024-08-03
C288,P011,Clothing,44.35,2024-10-11
C232,P020,Grocery,31.09,2024-06-28
C469,P037,Grocery,45.36,2025-01-26
C491,P016,Grocery,29.39,2024-07-02
C098,P032,Grocery,15.89,2024-04-05
C463,P012,Grocery,47.66,2024-04-11
C136,P006,Home & Kitchen,145.28,2024-05-24
C386,P007,Clothing,110.63,2024-09-19
C200,P049,Books,17.03,2024-10-09
C073,P023,Home & Kitchen,73.07,2024-07-01
C204,P028,Grocery,24.76,2024-06-18
C356,P025,Clothing,143.67,2025-01-01
C456,P016,Grocery,29.39,2024-09-13
C090,P024,Clothing,112.22,2025-01-04
C286,P041,Health & Beauty,60.05,2024-09-30
C384,P025,Clothing,143.67,2024-07-06
