Customer ID,RecommendedProducts
C378,"['P031', 'P021', 'P028', 'P033', 'P009']"
C379,"['P034', 'P042', 'P045', 'P032', 'P024']"
C380,"['P046', 'P035', 'P008', 'P042', 'P006']"
C381,"['P027', 'P001', 'P009', 'P031', 'P004']"
C382,"['P008', 'P026', 'P015', 'P037', 'P023']"
C383,"['P003', 'P046', 'P042', 'P050', 'P029']"
C384,"['P013', 'P029', 'P030', 'P044', 'P012']"
C385,"['P024', 'P037', 'P046', 'P023', 'P033']"
C386,"['P013', 'P010', 'P032', 'P038', 'P001']"
C387,"['P013', 'P005', 'P033', 'P044', 'P016']"
C388,"['P045', 'P030', 'P002', 'P021', 'P050']"
C389,"['P027', 'P010', 'P004', 'P022', 'P019']"
C390,"['P027', 'P015', 'P009', 'P004', 'P019']"
C391,"['P006', 'P030', 'P026', 'P028', 'P032']"
C392,"['P029', 'P026', 'P009', 'P005', 'P021']"
C393,"['P002', 'P025', 'P019', 'P020', 'P009']"
C394,"['P012', 'P032', 'P037', 'P023', 'P030']"
C395,"['P009', 'P048', 'P023', 'P044', 'P029']"
C396,"['P012', 'P004', 'P015', 'P048', 'P030']"
C397,"['P037', 'P004', 'P030', 'P047', 'P039']"
C398,"['P026', 'P033', 'P025', 'P044', 'P041']"
C399,"['P016', 'P003', 'P041', 'P023', 'P045']"
C400,"['P023', 'P044', 'P001', 'P005', 'P039']"
C401,"['P019', 'P006', 'P027', 'P032', 'P002']"
C402,"['P045', 'P018', 'P023', 'P016', 'P036']"
C403,"['P045', 'P043', 'P028', 'P019', 'P009']"
C404,"['P009', 'P041', 'P021', 'P042', 'P004']"
C405,"['P038', 'P045', 'P014', 'P007', 'P024']"
C406,"['P013', 'P038', 'P033', 'P007', 'P044']"
C407,"['P028', 'P010', 'P029', 'P026', 'P031']"
C408,"['P032', 'P029', 'P030', 'P016', 'P031']"
C409,"['P012', 'P015', 'P030', 'P001', 'P013']"
C410,"['P041', 'P028', 'P008', 'P019', 'P001']"
C411,"['P043', 'P042', 'P019', 'P033', 'P020']"
C412,"['P014', 'P044', 'P035', 'P043', 'P037']"
C413,"['P013', 'P012', 'P006', 'P042', 'P029']"
C414,"['P046', 'P037', 'P029', 'P018', 'P036']"
C415,"['P020', 'P049', 'P047', 'P015', 'P002']"
C416,"['P036', 'P031', 'P005', 'P047', 'P015']"
C417,"['P013', 'P041', 'P011', 'P020', 'P047']"
C418,"['P016', 'P045', 'P010', 'P027', 'P006']"
C419,"['P012', 'P036', 'P006', 'P044', 'P035']"
C420,"['P035', 'P025', 'P049', 'P015', 'P036']"
C421,"['P035', 'P025', 'P012', 'P040', 'P042']"
C422,"['P035', 'P025', 'P012', 'P042', 'P005']"
C423,"['P015', 'P039', 'P043', 'P031', 'P045']"
C424,"['P019', 'P035', 'P044', 'P050', 'P014']"
C425,"['P039', 'P024', 'P022', 'P042', 'P049']"
C426,"['P031', 'P004', 'P044', 'P038', 'P027']"
C427,"['P027', 'P005', 'P030', 'P036', 'P002']"
C428,"['P020', 'P022', 'P035', 'P018', 'P041']"
C429,"['P023', 'P046', 'P021', 'P050', 'P047']"
C430,"['P003', 'P036', 'P021', 'P028', 'P032']"
C431,"['P007', 'P039', 'P020', 'P032', 'P010']"
C432,"['P009', 'P007', 'P050', 'P033', 'P035']"
C433,"['P031', 'P003', 'P043', 'P033', 'P018']"
C434,"['P015', 'P018', 'P029', 'P005', 'P033']"
C435,"['P035', 'P012', 'P002', 'P016', 'P008']"
C436,"['P017', 'P036', 'P035', 'P003', 'P031']"
C437,"['P036', 'P022', 'P033', 'P004', 'P013']"
C438,"['P015', 'P023', 'P006', 'P004', 'P035']"
C439,"['P013', 'P039', 'P001', 'P012', 'P003']"
C440,"['P012', 'P040', 'P036', 'P034', 'P038']"
C441,"['P009', 'P030', 'P048', 'P020', 'P035']"
C442,"['P048', 'P023', 'P039', 'P042', 'P041']"
C443,"['P022', 'P028', 'P044', 'P004', 'P048']"
C444,"['P042', 'P008', 'P015', 'P014', 'P036']"
C445,"['P013', 'P031', 'P027', 'P039', 'P045']"
C446,"['P026', 'P003', 'P040', 'P045', 'P039']"
C447,"['P009', 'P043', 'P006', 'P003', 'P048']"
C448,"['P009', 'P021', 'P038', 'P042', 'P015']"
C449,"['P015', 'P037', 'P050', 'P001', 'P016']"
C450,"['P014', 'P041', 'P011', 'P008', 'P045']"
C451,"['P008', 'P004', 'P014', 'P047', 'P038']"
C452,"['P036', 'P046', 'P004', 'P008', 'P020']"
C453,"['P009', 'P015', 'P014', 'P005', 'P033']"
C454,"['P038', 'P042', 'P018', 'P049', 'P004']"
C455,"['P013', 'P031', 'P005', 'P038', 'P046']"
C456,"['P012', 'P032', 'P034', 'P015', 'P026']"
C457,"['P014', 'P021', 'P022', 'P026', 'P004']"
C458,"['P007', 'P039', 'P026', 'P016', 'P011']"
C459,"['P048', 'P022', 'P035', 'P042', 'P024']"
C460,"['P010', 'P041', 'P011', 'P029', 'P030']"
C461,"['P022', 'P036', 'P011', 'P041', 'P013']"
C462,"['P038', 'P045', 'P043', 'P010', 'P023']"
C463,"['P038', 'P045', 'P020', 'P006', 'P010']"
C464,"['P042', 'P028', 'P021', 'P019', 'P013']"
C465,"['P016', 'P047', 'P006', 'P018', 'P007']"
